,name,steam_appid,required_age,is_free,number_dlc,developers,publishers,price_currency,price_initial,price_final,windows,mac,linux,metacritic_score,categories,genres,recommendations_total,achievements_total,release_date,0,total_news,total_patches
55874,Escalar Playtest,2374310.0,0.0,False,,,,,,,True,False,False,,,,,,"20 May, 2023",,,
55963,Gamble Tower Playtest,2210010.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Apr, 2023",,,
55973,我的侠客 Playtest,1945400.0,0.0,False,,,,,,,True,False,False,,,,,,"16 May, 2022",,,
56029,METAL DOGS Playtest,1681030.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Jul, 2021",,,
56048,"You, Caligrapher Playtest",1601110.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"6 May, 2021",,,
56122,Ragtag Crew Playtest,1612130.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Apr, 2021",,,
56317,Omega Crafter Playtest,2364820.0,0.0,False,,,,,,,True,False,False,,,,,,"1 Dec, 2023",,,
56370,The Axis Unseen Playtest,2862250.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Feb, 2024",,,
56424,Fantasy Village Simulator Playtest,2716900.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Dec, 2023",,,
56581,TEVI Playtest,2385180.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Jul, 2023",,,
56601,Men of War II Playtest,2112280.0,0.0,False,,,,,,,True,False,False,,,,,,"16 Nov, 2023",,,
56622,Enduring Dreamers: Freya Playtest,2116650.0,0.0,False,,,,,,,True,False,False,,,,,,"10 Aug, 2022",,,
56722,Twinsen's Little Big Adventure Remastered Playtest,2374470.0,0.0,False,,,,,,,True,False,False,,,,,,"12 May, 2023",,,
56738,アザリスの迷宮 Playtest,2372390.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Mar, 2023",,,
56754,Ardem Playtest,2673070.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Mar, 2025",,,
56793,Half Sword Playtest,2527870.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Jul, 2024",,,
56818,Project ST Beta,2478770.0,0.0,False,,,,,,,True,False,False,,,,,,"12 Jul, 2023",,,
56819,Spookitchen Playtest,3799000.0,0.0,False,,,,,,,True,False,False,,,,,,"12 Aug, 2025",,,
56831,Microtopia Playtest,3359150.0,0.0,False,,,,,,,True,False,False,,,,,,"26 Nov, 2024",,,
57000,MISERY Playtest,3847130.0,0.0,False,,,,,,,True,False,False,,,,,,"27 Jul, 2025",,,
57039,Bobo Bay Playtest,2903040.0,0.0,False,,,,,,,True,False,False,,,,,,"31 Jul, 2025",,,
57260,Police Shootout Playtest,1879780.0,0.0,False,,,,,,,True,False,False,,,,,,"26 Jan, 2022",,,
57261,Phantom Blaze Playtest,2648820.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Oct, 2023",,,
57284,方寸三国 Playtest,3822210.0,0.0,False,,,,,,,True,False,False,,,,,,"27 Jun, 2025",,,
57553,Angrbotha Mountains Playtest,2699140.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Nov, 2023",,,
57560,Trolling Bowling Playtest,3699340.0,0.0,False,,,,,,,True,False,False,,,,,,"9 May, 2025",,,
57644,Store Life Simulator Playtest,3613380.0,0.0,False,,,,,,,True,False,False,,,,,16.0,"31 Mar, 2025",,,
57666,Ад: далёкие огни Playtest,2642750.0,0.0,False,,,,,,,True,False,False,,,,,,"13 Oct, 2023",,,
57780,Hooking Season Playtest,2076590.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Jul, 2022",,,
57830,Halls of Watershot Playtest,2560430.0,0.0,False,,,,,,,True,False,False,,,,,,"19 Aug, 2023",,,
57888,Big Earth Playtest,1614190.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Jun, 2022",,,
57918,Currently Unstable Playtest,2575020.0,0.0,False,,,,,,,True,False,False,,,,,,"20 Apr, 2024",,,
57970,Lost Expeditions: Station One Playtest,1518970.0,0.0,False,,,,,,,True,False,False,,,,,,"13 Aug, 2021",,,
58123,Kitty's Last Adventure Playtest,2984730.0,0.0,False,,,,,,,True,False,False,,,,,,"10 Sep, 2024",,,
58255,"Ready, Set, Block! Playtest",3745940.0,0.0,False,,,,,,,True,False,False,,,,,,"20 May, 2025",,,
58314,Ring of Titans Playtest,1886430.0,0.0,False,,,,,,,True,False,False,,,,,,"27 Jan, 2022",,,
58358,Species: Unknown Playtest,3734030.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Jun, 2025",,,
58385,Shadow of the Road Playtest,3498750.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
58425,Bargue Playtest,2004100.0,0.0,False,,,,,,,True,False,False,,,,,,"26 May, 2022",,,
58439,SCP Playtest,2844070.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Sep, 2024",,,
58558,REMEDIUM Playtest,2455250.0,0.0,False,,,,,,,True,False,False,,,,,,"8 Jun, 2023",,,
58566,雀道 Mahjong Route Playtest,3810230.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Jul, 2025",,,
58574,Whiskers and Wizardry Playtest,3397410.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Dec, 2024",,,
58621,Builders of Greece Playtest,2261390.0,0.0,False,,,,,,,True,False,False,,,,,,"5 Feb, 2024",,,
58662,Dungeon Online Playtest,3013240.0,0.0,False,,,,,,,True,False,False,,,,,,"28 May, 2024",,,
58804,Banana Loco Playtest,3672150.0,0.0,False,,,,,,,True,False,False,,,,,,"13 Jun, 2025",,,
58834,Jetpack Birdie Playtest,3266810.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Jan, 2025",,,
58959,Photography Simulator Playtest,2561560.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Feb, 2024",,,
59122,Alternis Playtest,3343640.0,0.0,False,,,,,,,True,False,False,,,,,,"19 Nov, 2024",,,
59129,House Builder VR Playtest,2251640.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"31 Dec, 2022",,,
59141,Sirocco Playtest,2876840.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Apr, 2024",,,
59187,Risk &amp; Riches Playtest,3234600.0,0.0,False,,,,,,,True,False,False,,,,,,"20 Sep, 2024",,,
59207,Tales edge Playtest,3752930.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Aug, 2025",,,
59239,Z_BM_Test Playtest,2621920.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Sep, 2023",,,
59242,Inkbound Playtest,2237570.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Jan, 2023",,,
59308,LithoBreak Playtest,1470200.0,0.0,False,,,,,,,True,False,False,,,,,,"26 Jul, 2022",,,
59312,Lost Eidolons: Veil of the Witch Playtest,2864930.0,0.0,False,,,,,,,True,False,False,,,,,,"18 Mar, 2024",,,
59393,PUSH Playtest,2615340.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
59454,Planet Party Time Playtest,3434010.0,0.0,False,,,,,,,True,False,False,,,,,,"14 May, 2025",,,
59463,Squad Tactics Playtest,2338980.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Nov, 2024",,,
59481,CIPHER ZERO Playtest,2876810.0,0.0,False,,,,,,,True,False,False,,,,,,"8 Mar, 2024",,,
59514,The Magistrate Playtest,2343540.0,0.0,False,,,,,,,True,False,False,,,,,,"27 Dec, 2023",,,
59594,Out of Sight Playtest,1949540.0,0.0,False,,,,,,,True,False,False,,,,,,"3 Apr, 2022",,,
59612,The Backroom - Lost and Found Playtest,2022350.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Jun, 2022",,,
59661,Keyboard Maestro Voyage Playtest,1692050.0,0.0,False,,,,,,,True,False,False,,,,,,"29 Jul, 2023",,,
59686,BRoS - Battle Royale of Survival Playtest,2197420.0,0.0,False,,,,,,,True,False,False,,,,,,"8 Feb, 2023",,,
59697,Stick and Stack Playtest,3736930.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
59738,StarRupture Playtest,3837830.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Jul, 2025",,,
59804,Generic RPG Idle Playtest,1946780.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Aug, 2023",,,
59891,Killing Floor 3 Playtest,3526590.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Jul, 2025",,,
59907,Bunny Game Playtest,2657970.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Feb, 2024",,,
59960,Tray Racers Playtest,2152520.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Dec, 2022",,,
59981,Star Salvager Playtest,1937630.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Mar, 2022",,,
60188,Glassbreakers: Champions of Moss Playtest,2621680.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"9 Oct, 2023",,,
60189,Linear Calamity Playtest,2901280.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
60191,Ultimate Hero: The Legend of Flurry Playtest,2961390.0,0.0,False,,,,,,,True,False,False,,,,,,"18 Mar, 2025",,,
60211,赏金游戏 Playtest,1872770.0,0.0,False,,,,,,,True,False,False,,,,,,"5 Apr, 2022",,,
60315,autarkis Playtest,2396360.0,0.0,False,,,,,,,True,False,False,,,,,0.0,"17 Apr, 2023",,,
60452,Blossom: The Seed Of Life Playtest,3776770.0,0.0,False,,,,,,,True,False,False,,,,,,"27 Jun, 2025",,,
60463,Moonshine Inc. Playtest,2197570.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Nov, 2022",,,
60494,风铃物语 Playtest,3227050.0,0.0,False,,,,,,,True,False,False,,,,,,"16 Oct, 2024",,,
60597,Turmoil Playtest,1498770.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Aug, 2024",,,
60662,Bug Blazer Playtest,2097240.0,0.0,False,,,,,,,True,False,False,,,,,,"26 Aug, 2022",,,
60724,Sky Base Venus Playtest,2417640.0,0.0,False,,,,,,,True,False,False,,,,,,"19 May, 2023",,,
60853,World Boss Playtest,2065390.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Sep, 2022",,,
60937,Blackout Protocol Playtest,2243490.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Jul, 2024",,,
60992,Grapples Galore Playtest,3395380.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Jan, 2025",,,
61026,Bedroom Battlegrounds Playtest,2899170.0,0.0,False,,,,,,,True,False,False,,,,,,"30 May, 2024",,,
61110,Dead Alone Playtest,2548340.0,0.0,False,,,,,,,True,False,False,,,,,,"8 Jan, 2024",,,
61113,小小群雄 Playtest,2755780.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Jun, 2024",,,
61178,Spectrolite Playtest,1766780.0,0.0,False,,,,,,,True,False,False,,,,,,"15 Oct, 2021",,,
61209,My Liege Playtest,3409490.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Jan, 2025",,,
61216,Void Harvest Playtest,3621740.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Apr, 2025",,,
61286,Aria and the Crystal Kingdom Playtest,2146670.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Sep, 2022",,,
61423,The Moon Ate The Sun - A Realtime Turn Based RPG Playtest,3213130.0,0.0,False,,,,,,,True,False,False,,,,,,"10 Sep, 2024",,,
61462,Undead West Playtest,3001820.0,0.0,False,,,,,,,True,False,False,,,,,,"16 Sep, 2024",,,
61478,Loya Playtest,2274280.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Jan, 2024",,,
61540,Geranium Playtest,2464720.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Aug, 2023",,,
61694,Chernobyl Liquidators Simulator Playtest,1478930.0,0.0,False,,,,,,,True,False,False,,,,,,"5 Feb, 2021",,,
61738,中国世纪放置遊戲(idle Chinese Century) Playtest,2289340.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Jan, 2023",,,
61802,Enfora Star Playtest,3595400.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Mar, 2025",,,
61933,Dead Exhale Playtest,3839030.0,0.0,False,,,,,,,True,False,False,,,,,,"3 Jul, 2025",,,
61992,Word Factori Playtest,2307860.0,0.0,False,,,,,,,True,False,False,,,,,,"1 Sep, 2023",,,
62005,HeavenX Playtest,3518640.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Apr, 2025",,,
62088,Lab Chaos Playtest,2262700.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Dec, 2022",,,
62124,Spellbound Shuffle Playtest,2837970.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Mar, 2024",,,
62245,Block-ed Playtest,2683020.0,0.0,False,,,,,,,True,False,False,,,,,,"8 Nov, 2023",,,
62271,反击！从今天起整顿职场 Playtest,2749230.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Feb, 2024",,,
62296,硬币与仙人掌 (Coins &amp; Wishpalm) Playtest,3408460.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Dec, 2024",,,
62510,,,,,,,,,,,,,,,,,,,,-1.0,,
62523,Desynced Playtest,2253960.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Dec, 2022",,,
